model,experiment,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,bus_f1_mean,bus_f1_std,car_f1_mean,car_f1_std,truck_f1_mean,truck_f1_std
efficientnet_b0,dann_warmstart,0.834,0.005798275605729679,0.83335,0.006576093065034835,0.8168,0.005091168824543171,0.89775,0.005161879502661739,0.78555,0.009404520189781107
efficientnet_b0,finetune,0.8251,0.004808326112068583,0.8224499999999999,0.005161879502661817,0.82575,0.010677312395916908,0.8811,0.004384062043356583,0.7605999999999999,0.00042426406871199957
efficientnet_b0,semi_dann,0.7819,0.011596551211459359,0.7807999999999999,0.012162236636408573,0.7623,0.011737972567696651,0.8466,0.007778174593052069,0.7335,0.01711198410471445
efficientnet_b0,source_only,0.7572,0.011596551211459359,0.75185,0.011667261889578005,0.76335,0.00021213203435594088,0.8155,0.03620386719675117,0.67665,0.0013435028842544493
efficientnet_b0,target_only,0.8018000000000001,0.008768124086713283,0.8010999999999999,0.007919595949289284,0.7895000000000001,0.014849242404917551,0.86745,0.012091525958290005,0.7463500000000001,0.003040559159102173
resnet18,dann_warmstart,0.8161499999999999,0.031041987694089432,0.8147,0.03252691193458122,0.7935000000000001,0.05048742417671947,0.884,0.020930360723121856,0.7665500000000001,0.026233661582020888
resnet18,finetune,0.81755,0.015485638507985412,0.81585,0.017889801564019682,0.8081,0.00537401153701768,0.8847,0.02757716446627534,0.75485,0.020859650045003092
resnet18,semi_dann,0.7812,0.0029698484809834867,0.78145,0.0020506096654410366,0.7476499999999999,0.006293250352560247,0.8615,0.0028284271247461927,0.73515,0.009545941546018401
resnet18,source_only,0.75995,0.011667261889578005,0.754,0.012727922061357866,0.74545,0.005727564927611071,0.82645,0.02156675682618968,0.6900999999999999,0.010748023074035478
resnet18,target_only,0.79355,0.0009192388155425283,0.7915,0.0018384776310849781,0.78425,0.017889801564019724,0.8596,0.0026870057685088986,0.7306,0.00975807358037438
